Date,Close/Last,Volume,Open,High,Low
02/06/2023,122.395,7811358,122.475,124.10,121.88
02/03/2023,124.465,7489646,124.125,127.15,123.73
02/02/2023,126.7925,12985842,125.535,127.82,124.805
02/01/2023,124.14,15518598,119.175,125.31,118.875
01/31/2023,118.55,5484094,116.45,118.5575,116.095
01/30/2023,116.775,8049958,117.89,118.87,116.675
01/27/2023,119.64,7254526,118.445,120.595,117.955
01/26/2023,120.43,7196364,119.85,120.52,117.955
01/25/2023,118.31,6854082,116.16,118.57,115.14
01/24/2023,118.19,7328630,117.45,119.125,117.45
01/23/2023,119.035,12789906,114.50,119.35,114.345
01/20/2023,113.675,5709700,111.125,113.685,110.385
01/19/2023,110.095,9283094,111.79,112.135,109.86
01/18/2023,112.855,9374614,114.58,115.525,112.7975
01/17/2023,113.565,5059216,112.615,114.325,112.45
01/13/2023,112.895,4264468,111.285,112.955,110.91
01/12/2023,112.49,7704844,111.74,113.23,109.4475
01/11/2023,110.83,5737052,109.4225,110.83,108.60
01/10/2023,109.545,5463946,107.76,109.55,107.365
01/09/2023,108.14,11422664,107.79,110.36,107.225
01/06/2023,105.835,7005844,103.075,106.455,101.43
01/05/2023,101.40,5936418,102.005,102.865,101.3375
01/04/2023,103.25,10039868,102.55,103.80,101.335
01/03/2023,100.69,4472474,103.29,103.385,100.05
12/30/2022,101.47,4410996,100.35,101.605,99.572
12/29/2022,101.87,8302008,100.215,102.20,99.87
12/28/2022,98.65,5064044,99.475,100.555,98.2675
12/27/2022,99.92,4636158,101.035,101.17,99.66
12/23/2022,101.74,3876262,101.035,101.855,99.965
12/22/2022,101.75,9552326,103.9925,103.9925,99.725
12/21/2022,106.15,5675506,104.48,106.46,104.21
12/20/2022,103.83,4510092,103.175,104.67,103.00
12/19/2022,104.34,7226902,105.585,105.77,103.44
12/16/2022,106.79,8276248,107.15,108.095,105.84
12/15/2022,107.625,8841994,109.98,110.29,107.295
12/14/2022,111.885,7518964,113.525,114.855,110.78
12/13/2022,113.845,9469980,117.02,117.295,112.42
12/12/2022,111.98,6827672,109.385,112.045,109.0601
12/09/2022,110.02,4938368,110.595,112.02,109.73
12/08/2022,110.91,7260014,108.57,111.165,107.94
12/07/2022,108.155,5651762,107.225,108.77,107.13
12/06/2022,108.18,6089920,110.51,110.605,107.275
12/05/2022,110.605,7068978,111.455,112.165,109.61
12/02/2022,111.94,8204276,110.70,112.325,110.125
12/01/2022,113.50,8752324,114.59,114.925,111.89
11/30/2022,113.865,12688248,108.065,113.87,107.215
11/29/2022,107.72,4908890,108.425,108.915,106.96
11/28/2022,108.015,7853686,109.245,110.58,107.415
11/25/2022,110.625,2207350,111.325,111.76,110.625
11/23/2022,111.94,5779932,110.955,113.04,110.79
11/22/2022,110.975,8283702,108.735,110.975,107.81
11/21/2022,107.84,5071636,108.35,108.67,107.38
11/18/2022,109.76,8025470,111.345,111.35,108.425
11/17/2022,109.56,9019762,106.605,110.075,106.38
11/16/2022,108.74,10710958,110.38,110.64,108.106
11/15/2022,112.80,11456548,114.26,114.639,111.375
11/14/2022,109.355,12231920,109.925,111.30,109.155
11/11/2022,110.40,12646464,107.255,110.91,106.45
11/10/2022,106.895,17078044,102.635,107.085,101.7175
11/09/2022,96.985,8639930,98.37,98.695,96.83
11/08/2022,99.695,12147000,99.395,100.835,97.80
11/07/2022,97.59,10213838,96.26,97.855,95.2025
11/04/2022,95.70,8471092,94.86,95.78,93.385
11/03/2022,91.45,11461258,91.13,93.05,90.195
11/02/2022,92.535,11903846,95.995,97.71,92.49
11/01/2022,95.265,4670036,96.65,96.875,94.845
10/31/2022,94.61,5975842,95.60,95.835,94.095
10/28/2022,96.39,9214950,93.07,96.5325,92.905
10/27/2022,92.845,10174652,95.205,95.985,92.725
10/26/2022,94.02,9898272,93.375,96.18,92.78
10/25/2022,94.95,13488890,93.58,95.625,93.535
10/24/2022,93.47,9834686,92.90,93.85,91.115
10/21/2022,93.175,12884058,89.67,93.315,89.275
10/20/2022,90.07,10876984,90.095,92.70,89.525
10/19/2022,89.36,8535872,88.19,90.17,87.775
10/18/2022,88.645,9798466,91.235,91.835,87.275
10/17/2022,88.625,8269638,88.845,89.74,87.91
10/14/2022,86.575,9984966,91.295,91.515,86.395
